id,target
42529,1
42530,0
42531,1
42532,0
42533,1
42534,1
42535,1
42536,1
42537,1
42538,1
42539,1
42540,1
42541,1
42542,1
42543,1
42544,1
42545,1
42546,1
42547,1
42548,1
42549,1
42550,1
42551,1
42552,1
42553,0
42554,1
42555,1
42556,1
42557,1
42558,1
42559,1
42560,1
42561,1
42562,1
42563,1
42564,0
42565,1
42566,1
42567,1
42568,1
42569,1
42570,1
42571,1
42572,1
42573,1
42574,1
42575,1
42576,0
42577,1
42578,1
42579,1
42580,1
42581,1
42582,1
42583,1
42584,1
42585,1
42586,1
42587,0
42588,0
42589,0
42590,1
42591,1
42592,0
42593,1
42594,0
42595,1
42596,0
42597,1
42598,1
42599,1
42600,1
42601,1
42602,1
42603,1
42604,0
42605,1
42606,1
42607,1
42608,0
42609,1
42610,1
42611,1
42612,1
42613,1
42614,1
42615,0
42616,1
42617,1
42618,1
42619,1
42620,1
42621,1
42622,1
42623,1
42624,1
42625,1
42626,1
42627,1
42628,1
42629,0
42630,1
42631,1
42632,1
42633,1
42634,1
42635,1
42636,1
42637,1
42638,1
42639,1
42640,1
42641,1
42642,1
42643,1
42644,1
42645,1
42646,1
42647,1
42648,1
42649,1
42650,1
42651,1
42652,1
42653,1
42654,1
42655,1
42656,1
42657,1
42658,0
42659,1
42660,1
42661,1
42662,1
42663,1
42664,1
42665,1
42666,1
42667,1
42668,1
42669,1
42670,1
42671,1
42672,1
42673,1
42674,1
42675,1
42676,1
42677,1
42678,1
42679,1
42680,1
42681,1
42682,1
42683,1
42684,0
42685,1
42686,0
42687,0
42688,1
42689,1
42690,1
42691,1
42692,1
42693,1
42694,1
42695,1
42696,1
42697,1
42698,1
42699,1
42700,1
42701,1
42702,1
42703,1
42704,1
42705,1
42706,1
42707,1
42708,0
42709,1
42710,1
42711,1
42712,1
42713,1
42714,1
42715,1
42716,0
42717,1
42718,1
42719,1
42720,1
42721,1
42722,1
42723,1
42724,1
42725,1
42726,1
42727,1
42728,1
42729,1
42730,1
42731,1
42732,1
42733,1
42734,1
42735,1
42736,0
42737,1
42738,1
42739,1
42740,1
42741,1
42742,1
42743,1
42744,1
42745,1
42746,0
42747,1
42748,1
42749,1
42750,0
42751,1
